Statistical profiling result from prof_with_console.log, (26558 ticks, 35 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.1%  LazyCompile: *indent /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:1487:19
      5    0.0%    0.1%  LazyCompile: *id /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:443:15
      5    0.0%    0.1%  LazyCompile: *default /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:902:20
      5    0.0%    0.1%  LazyCompile: *attrs /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:1440:18
      5    0.0%    0.1%  LazyCompile: *Tokenizer /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/@babel/parser/lib/index.js:1896:14
      4    0.0%    0.0%  LazyCompile: *while /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:1023:18
      4    0.0%    0.0%  LazyCompile: *when /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:873:17
      4    0.0%    0.0%  LazyCompile: *toConstant /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/constantinople/lib/index.js:9:24
      4    0.0%    0.0%  LazyCompile: *pp$9.nextToken /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/acorn/dist/acorn.js:4391:28
      4    0.0%    0.0%  LazyCompile: *parseExprOpRightExpr /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/@babel/parser/lib/index.js:12369:23
      4    0.0%    0.0%  LazyCompile: *consume /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:184:20
      4    0.0%    0.0%  LazyCompile: *attribute /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:1216:22
      4    0.0%    0.0%  Function: ^readFileSync node:fs:450:22
      4    0.0%    0.0%  Function: ^pug_classes_array /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-runtime/index.js:63:27
      3    0.0%    0.0%  RegExp: ^when +([^:\n]+)
      3    0.0%    0.0%  RegExp: ^\n( *)
      3    0.0%    0.0%  RegExp: ^(\w(?:[-:\w]*\w)?)
      3    0.0%    0.0%  RegExp: ["&<>]
      3    0.0%    0.0%  LazyCompile: *startNode /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/@babel/parser/lib/index.js:4278:12
      3    0.0%    0.0%  LazyCompile: *parseStatementContent /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/@babel/parser/lib/index.js:14536:24
      3    0.0%    0.0%  LazyCompile: *parseBlockOrModuleBlockBody /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/@babel/parser/lib/index.js:15170:30
      3    0.0%    0.0%  LazyCompile: *parse /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/character-parser/index.js:28:15
      3    0.0%    0.0%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      3    0.0%    0.0%  LazyCompile: *mixinBlock /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:794:23
      3    0.0%    0.0%  LazyCompile: *isExpression /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/is-expression/index.js:14:22
      3    0.0%    0.0%  LazyCompile: *interpolation /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:369:26
      3    0.0%    0.0%  LazyCompile: *include /var/src/app/32-logs-profiling-debug-parte-ii/entregable/node_modules/pug-lexer/index.js:818:20
      3    0.0%    0.0%  LazyCompile: *get node:internal/streams/duplex:94:8
